word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
本,běn,3,moe_dict,verified,běn(ㄅㄣˇ)=3,1,3
果,guǒ,3,moe_dict,verified,guǒ(ㄍㄨㄛˇ)=3,1,3
校,,4,moe_dict,verified_tone_only,jiào(ㄐㄧㄠˋ)=4|xiào(ㄒㄧㄠˋ)=4,2,4
桌,zhuō,1,moe_dict,verified,zhuō(ㄓㄨㄛ)=1,1,1
條,tiáo,2,moe_dict,verified,tiáo(ㄊㄧㄠˊ)=2,1,2
梳,shū,1,moe_dict,verified,shū(ㄕㄨ)=1,1,1
椅,,,moe_dict,ambiguous_polyphone,yī(ㄧ)=1|yǐ(ㄧˇ)=3,2,"1,3"
極,jí,2,moe_dict,verified,jí(ㄐㄧˊ)=2,1,2
概,gài,4,moe_dict,verified,gài(ㄍㄞˋ)=4,1,4
樣,,4,moe_dict,verified_tone_only,xiàng(ㄒㄧㄤˋ)=4|yàng(ㄧㄤˋ)=4,2,4
機,jī,1,moe_dict,verified,jī(ㄐㄧ)=1,1,1
